amount,hour,day,senderBalance,receiverBalance,averageAmount,todayTransactions,transactionsLastHour,newReceiver,nightTransaction
41125,21,5,87425,66358,1043,18,6,1,0
16033,22,5,53894,20079,3552,19,3,0,0
31420,17,2,43380,23236,6135,11,9,0,0
34178,2,7,77418,14596,904,38,8,1,1
7084,2,4,18271,29975,12980,10,13,0,1
20608,16,2,36454,27856,2673,9,7,1,0
41197,6,1,55529,17685,2641,4,12,1,0
8997,10,6,97925,61268,10381,36,8,1,0
26658,16,5,97932,78411,1722,22,5,0,0
4264,1,4,47328,47924,8746,10,12,0,1
35738,20,4,29873,36397,13987,2,10,0,0
19251,20,4,87910,78617,4224,21,10,1,0
24064,3,1,25262,11046,9542,34,14,1,1
4854,21,5,89899,21792,10077,36,14,1,0
48595,2,4,16350,12112,7201,34,8,1,1
40386,20,1,15548,35111,5236,1,10,1,0
45081,6,3,45686,28145,1352,30,5,1,0
23052,18,5,70126,6960,3104,17,9,0,0
28471,16,7,20991,1341,11955,24,18,1,0
12255,20,1,2250,54756,2521,16,5,1,0
15897,17,1,77954,90600,8144,26,14,1,0
37642,15,7,12682,87833,7224,22,6,1,0
37199,20,7,70268,11122,8107,23,17,0,0
25511,2,2,18350,66150,5492,14,2,1,1
30908,12,2,82550,95402,3083,26,11,0,0
28536,16,4,55120,15317,1020,13,17,0,0
28688,12,2,75359,80765,11813,35,9,1,0
37115,22,5,28288,95505,14019,35,6,1,0
16372,16,5,74472,62187,13084,16,11,0,0
10617,9,6,50572,24574,3530,20,4,0,0
32734,16,3,34433,24951,2133,4,17,1,0
40601,15,1,90593,35400,4594,24,3,1,0
43195,4,5,45528,97659,4905,39,13,1,1
40971,12,2,48780,24262,14999,4,7,1,0
48989,21,5,65254,34157,11693,34,8,0,0
43514,2,6,81912,50948,8345,23,16,0,1
11363,19,2,30948,26172,10206,35,17,1,0
26686,16,3,29331,7906,12361,13,14,0,0
37444,13,5,18174,83560,13339,3,8,0,0
37785,1,4,94877,29192,13874,25,4,0,1
15586,23,4,34242,69669,14763,5,15,1,0
41874,5,5,10403,3020,9087,5,12,0,1
38002,7,5,2896,84082,2845,3,7,1,0
6184,12,5,86731,7314,2483,28,0,0,0
18089,12,3,52256,97624,10008,36,5,1,0
22535,4,3,50208,74553,2908,31,9,1,1
2720,10,5,37009,42534,4098,18,3,1,0
48846,12,5,92159,33062,10277,32,12,1,0
9883,16,1,35332,31966,7109,24,12,0,0
1008,5,3,48017,29257,5452,32,1,0,1
1436,14,6,27160,5084,377,4,19,1,0
45540,17,4,50692,80395,9209,17,9,1,0
20954,23,3,68389,23821,4899,29,11,1,0
25339,2,4,27583,87046,8320,11,0,1,1
31599,14,3,27582,29241,14394,26,1,1,0
13026,3,1,89686,6540,138,15,10,1,1
46767,13,4,3593,77258,5758,3,16,1,0
47852,23,4,34256,53268,6546,16,4,0,0
48902,18,1,32696,5626,7524,38,14,1,0
1981,2,1,83211,26385,5490,16,7,1,1
39342,16,5,69416,8711,8882,27,13,1,0
30708,6,3,62288,82879,6159,24,2,1,0
527,13,7,12036,28541,13647,20,3,0,0
38566,15,1,5609,49268,2533,24,7,0,0
29760,12,1,27089,30015,12725,31,5,1,0
6155,12,1,64788,51195,4297,8,10,1,0
3763,23,1,43908,39499,11228,32,14,1,0
46390,21,4,49287,35488,9005,32,17,1,0
49154,0,1,45504,83869,6832,26,6,1,1
15526,6,2,51361,75897,12530,34,9,0,0
25004,16,3,58160,49786,2025,9,5,0,0
26016,8,2,91327,26289,14271,20,14,0,0
35199,6,3,46663,98511,999,6,2,0,0
21289,9,6,15813,80885,7279,23,11,0,0
1561,12,3,27245,31890,3738,36,12,1,0
28381,22,5,70826,92447,406,18,5,1,0
16083,21,5,3420,91194,11263,10,18,0,0
45501,21,7,99156,30027,12180,30,19,0,0
12804,11,6,39943,99259,6395,32,8,1,0
25850,20,2,22515,77539,10917,15,1,1,0
45351,9,3,18278,45241,9561,12,2,0,0
33298,7,5,85378,57056,11206,26,7,1,0
23280,22,2,66561,88397,101,37,4,1,0
4649,21,4,95088,99950,113,39,19,1,0
3815,5,1,61772,92152,8319,2,2,0,1
43007,0,4,61867,97955,12688,23,14,0,1
44739,21,6,76867,71260,5997,12,8,0,0
6277,19,3,23999,88576,10652,20,10,0,0
6117,11,5,92964,9847,9871,28,14,0,0
18310,11,3,50608,34707,4053,14,1,0,0
47615,4,4,781,27420,6362,35,5,0,1
28405,4,1,9700,64178,1329,12,9,1,1
35058,23,3,66161,45272,7573,29,6,0,0
6639,10,2,9610,79141,12215,23,12,1,0
1970,9,4,4970,10225,9656,1,7,0,0
40288,5,5,48820,47414,5338,26,10,1,1
28626,16,2,36987,65838,12244,12,7,0,0
30660,0,1,32390,79134,14387,14,15,0,1
26985,1,2,17587,5704,11524,25,15,0,1
27209,20,5,85650,66024,7214,4,1,0,0
35942,13,4,92249,4114,3653,18,12,0,0
48407,18,5,4212,1367,8289,7,14,0,0
27724,6,7,9608,77714,2975,29,0,0,0
8928,16,3,22943,79973,14397,11,2,1,0
25538,13,1,23112,93977,6571,2,5,1,0
31349,11,5,82389,53551,11656,15,11,1,0
43791,10,7,82209,59889,10703,21,10,0,0
4432,14,5,87663,39310,7036,36,10,0,0
44815,3,5,38150,46881,13745,4,15,0,1
28212,13,3,43152,72430,13567,35,7,1,0
49258,3,6,12789,44976,10928,4,10,0,1
48479,11,2,30234,72588,14594,7,16,1,0
8637,9,4,12649,59189,9700,13,8,1,0
37385,14,2,76653,75388,10923,24,15,0,0
35994,4,4,56326,36451,7327,39,9,0,1
146,18,4,65981,68576,9754,5,14,0,0
49635,11,2,95380,17014,8953,37,14,0,0
33756,6,3,58493,74696,10929,13,1,1,0
46883,6,5,94518,32117,6880,39,8,0,0
44312,13,3,38967,17625,1225,32,6,0,0
12324,7,5,73879,14210,172,8,0,0,0
37958,8,7,72740,64315,3813,5,11,0,0
4256,20,6,35003,73794,11353,3,5,1,0
19202,5,1,10186,53363,761,36,4,0,1
48605,14,1,29482,207,2765,30,15,1,0
29329,15,4,20603,39891,10854,16,12,0,0
37212,18,6,92152,62711,8655,1,19,1,0
26343,0,5,77059,10699,9815,34,13,1,1
5783,17,5,84828,35585,14398,9,0,0,0
38068,22,2,36535,64977,4506,6,2,1,0
10383,21,4,65112,90355,12877,12,14,0,0
12330,5,2,87968,34594,11521,24,9,1,1
7630,5,3,94531,31750,13335,14,8,0,1
46485,2,2,56654,20609,3078,18,13,1,1
48896,9,1,75020,63740,13700,36,13,0,0
25710,15,6,74465,14716,11238,35,8,1,0
5773,20,2,17847,16920,13991,12,12,0,0
33614,19,2,52688,55099,2594,6,10,1,0
37948,22,3,72466,39922,13928,19,1,1,0
39257,1,6,50341,46332,10242,15,8,0,1
44937,2,5,71484,50331,12577,7,15,1,1
23292,0,4,47351,99942,5771,17,4,0,1
34172,19,5,99223,12411,4617,39,17,0,0
42469,19,7,71729,99071,2144,35,6,0,0
26716,21,6,31674,9956,6240,22,4,1,0
4482,20,6,73794,23177,7738,39,4,0,0
22741,17,5,57032,16052,2485,37,12,1,0
164,16,3,54244,70331,10734,21,19,1,0
29301,3,2,37987,93947,693,35,8,0,1
26036,5,2,55816,64041,10736,17,8,0,1
39041,1,4,4131,6172,9412,10,17,1,1
28672,7,5,93461,28602,6969,8,16,0,0
8081,22,5,97222,47684,13827,1,4,1,0
4941,7,1,94794,63530,3556,24,2,1,0
11281,4,4,88840,94439,12189,31,13,1,1
9867,19,7,64527,57906,11854,5,4,1,0
10760,9,6,28770,78815,6611,28,16,0,0
35145,1,7,91574,77360,1927,4,13,0,1
12505,22,6,7410,57713,14189,21,3,1,0
5979,7,2,60265,99084,10008,32,15,1,0
29922,10,2,46338,58279,7669,9,7,0,0
49146,17,6,78311,2461,14391,21,11,1,0
33454,16,5,78294,30841,9859,30,6,0,0
37644,8,7,57349,28044,7265,21,7,1,0
23912,13,7,95370,14571,10051,11,10,0,0
43542,12,2,13557,64028,12600,15,19,0,0
48690,14,3,46986,20567,13455,13,10,0,0
1725,0,3,9394,18037,2166,23,6,1,1
9497,4,7,88699,41321,7453,16,7,0,1
25861,2,1,39287,62946,5443,34,10,0,1
3082,20,6,80602,79578,9214,2,8,1,0
37901,8,4,85399,47701,10573,26,11,0,0
13945,1,5,89964,15379,2734,16,18,0,1
5111,5,3,83117,9596,5351,20,9,1,1
1014,2,2,67864,73445,5688,39,9,1,1
38660,12,4,60164,27766,10922,4,13,0,0
16088,4,2,95786,6643,11239,24,1,1,1
49746,18,7,61103,28731,11254,19,12,1,0
542,5,5,44434,10258,8723,36,16,0,1
10721,17,7,2151,50288,2910,28,14,0,0
16185,21,5,78484,59792,12585,4,19,1,0
18395,14,6,30754,84045,2271,11,6,0,0
45658,15,5,96304,8329,2197,3,12,0,0
28273,21,5,36025,53072,8286,19,9,0,0
5018,18,5,63312,7999,6152,20,16,0,0
48202,4,4,26701,19715,13025,39,6,1,1
29313,23,1,44119,42821,11148,31,19,1,0
45604,20,6,1931,74603,4813,30,6,0,0
34743,13,2,33091,93583,11545,31,9,0,0
32973,5,4,42300,96044,5447,20,17,1,1
38329,20,4,17573,30682,11433,15,17,1,0
7928,10,4,77954,65428,1549,26,11,1,0
45952,13,1,21144,18745,6264,18,4,0,0
34522,4,1,18822,57714,6076,21,11,0,1
6589,8,1,7845,29300,7975,7,0,0,0
9880,1,4,23981,18474,14092,39,16,0,1
1634,5,6,78521,69184,13240,5,1,1,1
46137,1,2,66133,76943,14291,39,11,1,1
24488,5,4,70702,48777,710,32,6,0,1
12820,3,6,79207,30933,5874,21,14,1,1
14940,13,3,57200,27624,6923,28,16,0,0
34882,23,6,20854,42951,9359,33,9,1,0
18659,5,7,49063,26390,6844,19,4,0,1
29451,23,4,61501,49159,8187,28,8,1,0
7240,22,1,21538,40846,6163,18,9,1,0
29140,5,4,80757,84742,5043,3,12,0,1
283,17,3,4635,6629,11268,28,0,0,0
23552,7,5,17571,20074,8904,4,5,1,0
5907,8,4,63870,80685,12250,16,0,0,0
31853,22,5,53256,56481,1383,28,5,1,0
26171,22,3,8504,9752,6374,33,3,0,0
26516,1,2,89208,32994,11839,29,8,1,1
44518,17,6,31430,81835,7644,11,1,0,0
46444,11,1,44232,81623,13637,22,2,1,0
12764,15,5,86251,91353,8481,33,2,1,0
43554,8,3,13730,29009,5533,11,15,1,0
16022,16,5,56415,18058,11201,15,2,0,0
27517,15,2,1589,37346,9227,28,14,0,0
10694,8,4,29295,55296,5163,23,2,1,0
33210,14,6,72406,9528,11992,14,3,1,0
23953,6,1,51439,29516,7474,18,18,0,0
21126,22,3,83797,15223,6801,38,13,1,0
20981,7,6,47238,71678,12209,20,16,0,0
49576,23,6,70285,34518,4857,19,13,0,0
19331,9,3,24764,59675,5175,7,13,0,0
48201,22,1,79110,52142,7255,14,5,0,0
14141,3,1,49937,49416,10659,33,19,0,1
46734,10,5,11740,98234,10673,30,8,1,0
32763,3,4,15349,81768,7904,22,8,1,1
5375,22,5,75313,97136,2579,30,11,0,0
779,13,2,67528,95998,760,5,15,1,0
44901,2,4,16788,72692,2144,9,8,1,1
25635,16,2,50379,59871,11428,8,12,0,0
32175,7,4,7081,71853,14994,15,8,0,0
26650,19,5,82825,14567,14968,38,19,0,0
12467,3,7,18362,43355,14975,4,11,0,1
8771,21,4,693,17569,2494,1,7,0,0
20390,5,6,94405,26512,6816,12,5,1,1
4379,7,3,85871,29033,7716,29,12,0,0
29539,7,6,5910,83375,6992,20,16,0,0
21181,5,1,18209,58557,1259,20,0,1,1
30503,20,5,17587,12605,5582,9,4,0,0
4649,16,5,36134,44602,282,39,12,1,0
15115,13,3,21886,83276,10466,1,7,1,0
8211,11,5,55784,72124,3411,33,12,1,0
33756,4,1,79182,79190,3841,23,16,0,1
1876,17,2,70069,38211,1089,33,3,1,0
32403,14,4,99739,78931,13524,33,11,1,0
24307,14,1,61850,71425,5154,29,8,1,0
34611,10,5,75137,78033,4758,9,6,1,0
17155,19,6,60558,62068,11877,29,5,0,0
6032,7,2,79428,28669,12655,35,10,0,0
48439,12,7,32205,38244,9528,31,5,1,0
10517,21,3,36768,90486,2220,38,11,1,0
34592,2,3,79503,52395,7090,23,7,0,1
47776,21,4,86420,45734,3461,28,4,0,0
3268,4,1,93876,84526,11511,19,9,1,1
17298,2,3,44514,11738,12513,11,16,0,1
8768,4,2,77987,91575,11567,38,0,0,1
48516,16,5,42917,7069,9691,24,2,0,0
4653,3,2,8097,47093,4558,27,9,0,1
26418,5,3,53661,2169,2272,37,9,1,1
8037,2,7,23673,30403,885,9,16,0,1
20539,14,6,71655,59500,3907,22,3,0,0
3237,8,1,2432,76449,8656,22,18,0,0
46634,1,5,57382,70393,440,21,11,0,1
359,3,3,85876,99931,14370,24,2,0,1
26763,3,3,39920,55568,3270,18,7,1,1
46841,23,2,85254,77988,9290,21,7,1,0
14853,16,5,92521,75774,6307,27,1,0,0
26422,12,7,20095,76021,12024,11,6,1,0
7685,16,4,67996,66093,13405,12,5,0,0
883,18,2,60511,38635,7063,32,5,0,0
12983,3,6,59454,28064,8225,24,14,0,1
12992,18,2,36804,30386,6168,14,17,1,0
18355,14,7,28898,51971,9194,35,15,0,0
48457,7,4,8516,2384,13268,33,7,0,0
40511,5,3,68526,25518,7761,31,15,1,1
27104,21,5,6345,86698,4006,10,9,1,0
12414,20,4,12444,52887,795,30,14,0,0
12307,17,2,37476,11590,8833,7,2,0,0
3364,4,1,86656,42727,13035,5,8,0,1
41217,3,3,76469,15038,3275,23,8,1,1
48512,3,6,1881,66634,3526,8,2,1,1
32956,12,5,10707,87329,2192,19,5,1,0
5186,7,1,60266,12449,8013,16,5,1,0
39234,1,2,46592,63671,10450,31,1,0,1
2952,22,6,70763,53117,5786,27,6,0,0
28455,0,1,16092,22173,536,13,18,0,1
23865,21,7,76612,16566,7290,32,9,1,0
24036,7,6,25735,159,12245,14,17,1,0
16238,19,5,15243,97102,13433,30,3,0,0
5591,7,2,75263,93814,6146,14,1,1,0
7928,1,7,46654,7016,14127,15,16,1,1
31898,17,6,27417,22736,11706,24,17,1,0
22441,5,5,81311,55103,5376,28,10,0,1
19009,10,3,53884,5793,4623,4,3,1,0
48015,18,5,91718,2224,8489,12,18,0,0
43409,22,2,62868,92122,12092,10,14,0,0
20181,20,3,15872,29796,9220,24,11,0,0
28100,14,1,75857,71368,12920,20,18,0,0
1317,9,1,18008,22005,5523,39,8,0,0
1520,17,6,5855,54120,9183,7,8,0,0
2258,4,5,27154,80769,13036,9,5,0,1
34774,0,4,76896,83692,8453,9,7,0,1
30500,17,3,62991,55621,9231,21,7,1,0
8548,20,4,33502,80098,1648,10,11,0,0
2101,9,6,28672,20132,3273,24,1,1,0
8017,3,6,32381,82594,8188,3,14,1,1
34833,11,6,54631,24087,12928,25,3,1,0
19644,5,1,20807,19611,11123,17,7,1,1
2746,11,3,32745,44724,14093,30,8,1,0
30117,5,7,20947,30431,1624,25,0,0,1
4026,6,4,61740,20093,6255,16,15,0,0
20964,12,7,57047,64110,4502,9,10,1,0
45281,22,1,28651,79303,11408,22,3,1,0
24771,8,5,93269,87265,14847,13,14,1,0
39383,11,2,22107,24968,730,5,19,1,0
49430,8,1,38958,46169,7759,7,9,0,0
32794,9,3,89888,97618,6510,13,7,1,0
13380,14,7,74718,65344,1172,38,14,0,0
14825,13,2,11533,16241,10344,20,19,0,0
47563,23,6,77221,27045,2046,34,14,1,0
36413,20,6,27576,64805,11937,22,17,1,0
31434,13,5,44754,67293,14438,30,5,0,0
43528,11,5,93918,8811,11524,17,15,0,0
26957,17,3,54610,13979,11855,6,8,1,0
12868,2,4,31779,96063,7966,26,11,0,1
41317,17,3,39370,96566,9161,18,5,1,0
620,18,5,4142,28001,1396,16,1,1,0
5367,7,5,19293,8199,10817,32,3,0,0
23361,10,7,31812,45242,3767,24,17,1,0
41046,11,1,84888,22601,3719,37,9,0,0
43179,20,2,63727,4967,2469,8,15,0,0
27414,4,3,86367,83596,1296,10,3,0,1
40696,22,3,56341,67712,3843,25,6,0,0
28483,19,4,99432,3696,11722,27,13,0,0
45741,19,5,76231,82612,3262,18,3,0,0
15418,12,4,98634,29961,12702,11,8,0,0
46981,0,1,65289,43361,1872,29,3,0,1
2872,18,5,23126,59979,10621,19,12,1,0
14535,14,7,64314,45607,7912,21,13,1,0
43799,9,4,51074,47857,10967,29,7,0,0
42352,18,7,14369,60315,11857,27,3,1,0
16655,2,5,47476,80578,9682,24,7,0,1
30909,3,2,47568,19991,10875,4,2,1,1
27057,22,5,7915,88691,378,5,8,0,0
32253,21,6,34648,61240,9965,7,6,1,0
19541,19,3,58227,38578,8633,4,11,1,0
20467,3,7,85660,26564,6128,23,17,1,1
35518,4,1,26211,30106,305,36,6,1,1
27128,21,5,90921,2708,2091,16,9,1,0
47136,1,7,78577,8712,9268,11,9,1,1
27129,16,4,88099,88499,13522,25,4,1,0
2801,0,7,43212,2610,12167,17,8,0,1
29784,1,7,7763,67450,7465,1,14,0,1
13690,6,5,20373,13050,780,29,8,0,0
37126,19,4,35560,1538,3508,12,15,0,0
26733,22,1,12612,75225,12146,36,3,1,0
41329,18,3,35175,18919,4273,33,13,1,0
37565,22,4,89291,27962,3072,19,5,0,0
17377,16,3,19124,39194,11699,6,7,0,0
48368,2,3,36031,52815,5086,10,19,0,1
16836,11,7,92149,64887,3193,37,7,0,0
49080,22,3,12389,24335,11354,19,18,1,0
37328,7,4,612,87051,3297,11,4,0,0
16524,16,6,20052,10808,6143,14,4,1,0
888,0,6,82438,86741,6440,2,14,0,1
25028,0,5,46663,3765,2538,15,13,0,1
24704,21,5,23431,89116,6011,18,9,0,0
29241,7,2,55345,98505,6260,2,5,1,0
30021,8,5,14756,87728,11567,7,2,1,0
22626,2,2,71791,65303,10925,38,10,0,1
28891,14,6,23047,81882,2700,20,11,0,0
29268,2,7,16693,30109,2949,22,2,1,1
34511,9,1,95267,45800,13854,36,1,0,0
40388,0,3,42637,79832,6509,15,18,1,1
47995,23,6,93527,84381,4220,28,0,0,0
37165,3,7,83236,65618,2020,10,3,0,1
15597,13,2,24851,30981,8467,38,16,1,0
16754,21,2,20374,50931,7774,21,14,0,0
29316,8,3,90509,68498,13659,28,16,0,0
35193,8,2,4517,10451,13904,39,16,0,0
1135,19,7,60628,88056,5585,5,10,1,0
21282,7,3,74288,27586,4001,33,10,1,0
12626,15,7,92285,66897,9865,19,3,0,0
43327,12,6,76662,869,1114,27,13,1,0
33459,13,2,23748,89160,10848,6,10,0,0
16679,16,4,44303,19296,10009,37,8,1,0
12856,20,2,20525,4458,14558,38,7,1,0
28274,10,5,91970,47195,7797,34,10,1,0
7353,12,4,97993,28927,8426,24,3,1,0
3279,0,7,36342,13261,11273,1,5,1,1
13653,15,5,36029,18452,341,7,2,0,0
47407,19,3,83222,12356,13540,4,11,1,0
35099,23,2,4106,57620,160,24,12,0,0
46894,22,5,92183,62061,6221,39,15,0,0
23409,20,5,636,17413,10448,35,6,1,0
35241,21,5,33354,76240,6319,23,15,0,0
47518,21,1,93922,1700,11962,13,13,1,0
5521,22,5,86965,41605,11381,30,0,1,0
41681,10,2,41958,89037,4829,10,14,1,0
24691,3,2,46813,92365,2394,19,14,1,1
37276,23,3,8828,15534,3460,33,18,0,0
14666,7,7,9140,91057,13765,13,0,1,0
4189,15,7,33472,10799,5652,29,6,1,0
48410,16,7,59192,61744,5226,39,0,0,0
36414,16,3,65548,50940,7474,29,10,1,0
47898,15,1,42556,51831,10139,1,15,0,0
10739,11,3,72809,95430,817,29,18,0,0
37826,8,5,5494,4234,3864,30,7,1,0
43443,15,2,78035,2581,2665,12,14,0,0
38760,3,7,25807,96371,11164,18,1,0,1
24566,14,4,88499,45276,734,29,2,0,0
49155,21,6,22835,45095,14494,4,19,0,0
27770,10,3,65425,68842,997,9,1,0,0
44536,14,1,92567,21639,349,37,15,0,0
35623,19,1,44886,63972,5430,29,6,1,0
35711,5,5,77741,93583,11066,31,2,0,1
15936,3,2,45016,87796,9785,12,9,0,1
39179,21,3,39212,64551,7504,2,11,1,0
43308,10,7,22339,27216,3901,2,17,1,0
49523,22,2,7985,31455,13780,38,14,0,0
12227,0,6,48288,88031,4351,21,13,0,1
923,3,7,73993,52198,9266,15,3,1,1
10007,22,6,26439,49145,4040,20,11,0,0
15900,7,1,4248,66629,4600,32,2,0,0
42501,23,6,33957,85679,11241,25,13,0,0
44536,7,7,90512,78278,12491,13,5,1,0
32002,7,3,50857,86908,12131,38,15,0,0
