amount,hour,day,senderBalance,receiverBalance,distance,deviceChanged,transactionsLastHour
4432,0,5,178021,93374,50,0,3
3399,16,5,178532,91397,15,0,2
778,13,3,184374,29865,37,0,4
3345,22,7,53770,79623,9,0,6
3461,0,7,110947,27399,49,0,1
4418,22,3,35678,77218,71,0,7
3310,2,3,160232,86595,7,0,6
1321,23,6,89458,13175,67,0,6
832,15,2,11150,5425,6,0,5
4252,15,5,177946,14859,28,0,2
1930,14,5,92955,86514,1,0,7
4501,19,5,169644,79757,8,0,4
3587,21,4,166047,46648,73,0,3
4233,16,2,40954,28856,13,0,2
246,6,1,60029,18685,3,0,5
3190,1,7,79532,82994,69,0,5
2099,3,1,36653,27657,16,0,6
4693,22,5,45809,17725,26,0,6
4836,7,2,182900,48924,70,0,1
2979,20,4,165445,37397,63,0,6
1396,0,3,26172,12555,25,0,3
2068,3,1,160834,12046,53,0,7
2721,21,6,125900,90399,32,0,7
1772,19,3,148184,25058,72,0,5
2130,8,1,59912,35008,60,0,2
4130,6,3,50186,29145,43,1,6
2332,4,4,74626,7960,60,0,1
3904,16,7,156563,2341,79,0,7
2718,16,7,190828,68957,79,0,1
3736,8,5,164007,38641,15,0,7
3167,6,6,173270,9820,6,0,2
836,22,5,142809,37062,38,0,3
3571,6,1,94613,75910,23,0,4
140,4,3,139055,98241,54,0,7
3969,16,4,59620,16317,24,0,1
4121,12,2,79859,81765,65,0,2
555,22,5,32788,96505,31,0,3
823,19,5,165701,52184,61,0,1
281,23,4,63606,11616,9,0,7
3440,19,5,146888,33733,48,0,6
385,17,4,168985,41600,47,0,6
2642,14,1,127744,90431,67,0,2
1838,4,3,173645,1806,55,0,3
1878,1,1,29262,81435,3,0,4
894,18,5,170229,78129,56,0,1
2563,2,6,187020,74781,46,0,1
3180,19,2,35448,27172,34,0,6
12,2,6,59028,8287,72,0,5
3691,10,1,159946,44642,28,0,1
1365,9,1,51542,43520,4,0,2
993,14,6,157826,4972,47,0,6
46,15,5,46755,86956,76,0,5
327,18,2,133322,2591,39,0,3
2006,12,1,129165,87231,18,0,4
1714,12,3,187828,98624,52,0,7
3748,5,4,158606,64620,44,0,3
4531,9,3,172581,43534,30,0,2
598,11,7,80713,88263,12,0,1
2074,7,7,149059,38311,34,0,3
3536,9,1,178279,14281,62,0,7
1255,4,5,149579,73595,67,0,1
927,16,2,14077,21953,49,1,7
294,11,4,92266,22427,75,0,3
3114,5,7,98106,28082,57,0,2
1463,1,5,128395,15288,12,0,7
896,10,4,187047,61545,46,0,6
3540,2,1,180485,94623,20,0,5
4036,19,6,104986,64416,68,1,1
4675,5,7,138052,49290,63,0,4
1819,14,4,23639,86530,71,0,1
3686,20,7,87970,86553,70,0,4
702,23,4,189697,53098,19,0,1
2263,6,1,33541,80083,8,0,1
126,1,3,165831,86708,71,0,6
4443,13,7,198118,27143,10,0,1
2053,5,1,35087,50930,50,0,1
2946,13,7,101347,49787,32,0,2
11,0,1,117360,46004,29,0,4
927,6,2,159470,99393,45,0,7
3051,9,7,161075,63768,74,0,3
1935,8,6,122832,27015,40,0,2
3399,19,6,66550,25826,6,0,4
3471,21,2,38662,99818,40,0,6
2144,11,5,137632,80148,18,1,4
4790,7,5,115198,3356,54,0,4
3675,5,2,21082,1661,36,1,1
1092,2,4,84561,9946,34,0,6
362,6,4,117340,60321,60,0,5
4621,11,6,175515,40063,49,0,1
1283,20,2,158087,78539,65,0,4
1807,6,2,34426,18778,57,0,4
3724,12,2,131503,85878,25,0,6
3379,11,6,93397,50153,36,0,5
4658,21,4,103317,71135,1,0,1
2948,1,3,149832,22927,75,0,5
3384,10,2,49738,34397,13,0,5
2901,8,1,142348,80530,75,0,6
1317,10,5,187958,72652,75,0,1
1665,11,4,88310,68278,5,0,5
1949,17,6,86537,67504,36,0,5
1068,5,5,164476,30856,50,0,2
285,20,2,137311,66661,49,1,7
3259,22,4,84141,13115,22,0,5
4413,15,2,48753,83811,7,1,1
1024,7,5,110823,14669,4,1,7
3883,0,7,151649,89009,29,0,1
3729,14,1,55138,43823,45,0,1
3134,15,5,163056,9125,65,1,6
584,8,1,116279,73460,72,0,7
498,10,4,119044,30165,3,0,6
3563,17,5,104304,26426,74,0,6
831,6,1,56924,4726,64,0,7
2200,20,3,40643,32324,32,0,1
3348,2,6,196305,26537,45,0,5
3875,7,2,36348,65732,25,0,5
4409,4,7,147635,47819,14,0,7
2555,11,3,194420,25596,22,0,7
3198,14,1,133803,9906,50,0,5
150,21,3,182953,47413,67,0,4
2551,14,4,167082,55691,29,0,1
2646,3,2,91365,45139,73,0,7
3664,23,1,142513,25611,67,0,6
1418,11,5,149745,77666,12,0,6
1310,21,4,188321,38384,14,0,2
1670,9,1,132834,35084,67,0,3
3693,6,2,93920,66681,18,0,1
1472,17,5,31160,18633,32,0,1
671,15,5,21014,93578,70,0,2
978,13,5,193856,8421,24,1,3
4368,20,2,99018,33117,38,0,3
3361,13,3,43467,18625,41,0,5
4141,7,5,115944,74379,2,0,1
1924,5,1,130926,73240,59,0,5
2485,20,6,170575,74794,43,0,3
351,5,2,155273,59576,34,0,6
4221,7,6,180915,96673,35,1,5
2344,14,1,33982,1207,61,0,7
2969,11,1,51479,21103,2,0,5
4453,18,6,198783,42323,64,0,5
4047,21,2,96878,5895,32,0,4
1533,1,5,123413,17163,22,0,2
2418,20,2,35682,48864,72,0,3
1735,22,2,41035,65977,54,0,6
2200,21,4,66929,98518,48,0,2
1836,23,2,68133,74165,5,0,7
82,14,5,29226,7721,1,0,6
4371,1,1,199812,65309,32,0,6
1143,15,6,150788,12138,40,0,5
2539,7,5,22347,17920,78,1,4
4233,12,7,169685,29179,17,0,7
4495,10,6,65545,93822,30,0,3
1963,9,1,191749,50841,30,0,1
2140,8,3,197660,71984,27,0,3
409,0,4,51851,55823,16,0,4
829,19,4,17411,58009,62,0,7
777,2,7,31715,28605,13,0,5
2655,4,6,198718,71017,61,0,6
4847,14,5,159249,25022,57,0,5
3094,20,2,118132,57532,52,0,5
681,3,1,189816,71331,10,0,4
4288,20,2,15749,26121,51,0,2
4849,2,1,33380,27035,28,0,5
2454,16,1,166983,33784,8,0,2
581,15,5,47080,90097,57,0,5
724,22,2,164674,89789,71,0,1
3936,23,5,101722,48684,31,1,7
2158,7,5,65920,95294,42,0,3
417,2,1,88588,17531,20,0,7
375,3,3,130426,65027,50,0,5
782,21,2,47533,29270,7,0,1
2386,1,7,187051,98661,67,0,1
4322,22,6,11910,58713,9,0,4
779,21,5,113212,40071,15,0,4
532,9,7,130200,59279,17,0,1
4593,13,4,185217,78425,21,0,4
3253,18,6,89080,62332,31,0,7
2554,11,1,48950,57849,20,0,5
311,7,6,87566,95870,74,0,6
4340,21,4,98980,49908,1,0,7
292,17,7,182558,21567,43,0,3
2478,0,3,13894,19037,18,0,6
1314,4,7,93199,42321,57,0,1
1294,2,1,43787,63946,63,0,3
2530,9,5,172807,81102,26,0,5
2557,3,6,113777,20033,57,0,1
1047,1,5,94464,16379,74,0,7
3905,18,5,87617,10596,3,0,6
236,4,6,108892,79645,20,0,6
4293,12,4,195736,28766,70,0,6
3596,23,5,124119,24225,54,0,6
2593,1,6,150298,64646,59,0,1
3400,13,3,83229,50815,75,0,6
2984,3,3,62775,82580,54,0,1
1179,19,1,89730,26051,46,1,4
1846,0,1,181325,35051,19,0,3
408,5,7,89045,58418,8,1,5
509,9,2,51850,55220,69,0,5
2620,20,3,88369,26122,45,0,5
2013,16,5,161351,27201,3,0,7
2988,0,1,48619,43821,40,0,4
4293,19,1,50603,24252,29,0,2
2471,21,4,108302,1162,54,0,2
3481,21,7,145905,8896,76,0,1
1729,10,4,45785,19681,56,0,2
4010,6,6,129302,15289,31,0,4
3736,15,7,70428,51601,25,0,6
4270,20,2,33228,35521,36,0,3
380,20,4,86912,7588,40,0,5
904,9,1,134350,34365,32,0,5
582,1,4,159553,19474,40,0,1
4634,1,6,55669,79021,64,0,5
1547,21,1,73673,66633,15,0,5
3760,21,4,79071,58326,39,0,3
620,18,7,15800,38823,31,0,4
1187,3,6,83707,31933,14,0,5
1759,19,4,5781,57700,39,1,2
4986,1,1,158335,14565,2,0,1
1587,19,3,26253,65166,51,0,3
4412,10,4,66001,50159,23,0,1
2221,4,5,143311,7710,8,0,6
4573,5,4,85257,85742,79,0,3
292,17,3,9135,7629,32,0,7
622,15,3,72843,40901,69,1,3
2601,8,4,199442,81685,15,1,5
1920,20,5,120357,57481,3,1,2
1604,22,3,144076,10752,2,0,1
1949,1,2,37994,16036,8,0,2
655,18,4,86835,31090,65,0,4
2514,20,2,182109,10346,75,0,2
4089,20,4,96353,91301,32,0,4
2603,8,3,149302,30009,57,0,7
3257,21,1,77516,56915,10,0,3
940,0,4,163588,88969,65,0,4
1080,6,6,109648,39547,0,0,7
649,2,4,92960,64278,37,0,5
1346,20,5,114869,9179,13,0,1
4656,8,3,55939,30516,78,0,1
4751,22,3,123362,84297,45,0,4
4606,7,6,131498,47738,29,0,3
605,16,1,159455,62709,25,1,6
1977,18,6,20282,85866,41,0,4
2230,6,6,184272,12002,18,0,6
1153,5,5,187947,32655,29,0,1
3457,19,1,51733,96028,58,0,1
77,7,2,86768,90709,40,1,7
4800,15,5,79813,98136,47,0,3
788,13,2,100998,50812,68,0,5
1996,11,1,77692,68580,72,0,4
1068,16,2,54879,60871,64,0,7
1457,11,6,115155,72853,46,0,3
2083,19,5,150639,81404,50,0,1
3750,18,4,154302,18862,27,0,4
588,21,4,136265,18569,54,1,7
4015,5,6,162584,7716,11,0,3
3461,9,1,116032,76868,39,0,5
4806,5,1,153781,59557,7,0,4
4707,6,5,8828,18087,61,0,6
2439,8,1,141535,71448,40,0,5
2876,6,7,73648,23054,12,0,6
1366,13,5,197512,45199,18,0,5
1142,11,5,158504,65089,68,0,3
183,22,6,171892,67262,48,0,2
4043,3,6,8744,25995,18,0,4
3818,11,2,160378,20086,40,0,7
3878,8,2,187721,35610,74,0,6
4315,18,6,69200,47619,2,0,3
4734,1,5,166445,34154,15,1,2
4018,11,3,7282,35624,54,0,2
1246,16,7,124006,73982,23,0,4
2334,21,3,126251,37268,72,0,2
3269,11,2,105127,18858,66,0,7
3144,22,3,183847,76769,56,0,4
4010,23,7,106665,89503,27,0,4
1601,0,1,180251,72442,28,0,2
2021,2,3,49014,12738,10,0,6
585,4,2,96575,96040,30,0,5
1467,4,6,47359,20799,58,0,5
1188,13,6,173298,73127,50,0,3
920,20,6,189233,3169,36,1,5
3168,5,4,142416,19800,28,0,7
1946,12,6,115659,28716,36,0,5
2731,12,6,91836,6498,50,0,2
1449,12,3,135544,1340,45,0,5
309,10,7,124619,76250,0,0,5
1144,1,3,149355,64922,16,0,2
2161,21,1,180767,85754,36,0,4
666,4,4,97021,76774,63,0,2
276,21,5,139702,20595,20,0,7
485,4,1,137279,47099,40,0,4
892,18,2,135351,61011,51,0,7
4800,3,6,195026,29064,61,0,7
1956,10,1,109946,37593,50,0,3
4187,18,7,11142,29398,3,0,3
3129,8,4,13016,3384,71,0,6
2500,4,5,161590,25045,60,0,2
2537,21,5,141917,87698,66,0,2
2377,20,4,148016,53887,34,0,1
3244,18,2,15503,85761,70,0,3
1098,3,1,145836,87156,7,0,1
3208,0,4,99754,76969,62,0,1
4907,13,6,53511,9605,74,0,3
919,12,5,15207,88329,44,1,3
367,15,2,85807,72312,33,0,6
4555,12,7,105859,69487,77,0,7
1060,21,5,28782,29454,64,0,6
446,12,5,127258,62202,56,0,7
2394,22,7,43333,81905,71,0,4
169,17,6,167993,17237,52,0,6
2317,12,3,76126,57071,11,0,6
4955,23,2,184838,47154,75,0,1
1274,17,6,31917,23736,49,0,6
898,10,1,24008,72274,18,0,2
4533,3,4,152281,91930,12,0,6
2681,23,4,134714,33441,28,0,3
3810,23,7,132881,72854,22,0,3
938,23,4,103826,94635,46,0,1
4638,19,3,10842,64115,36,0,5
2597,8,3,72055,88697,77,0,1
901,6,1,7257,28364,12,0,2
4754,8,6,123581,35773,44,0,1
1761,7,7,52377,24554,27,1,4
3230,7,6,59336,75083,20,0,3
1558,16,6,146365,56860,43,0,2
4663,12,5,23199,37609,13,0,1
396,14,6,172093,55131,23,0,1
749,5,1,156379,20611,15,0,4
2755,11,3,168317,45724,41,0,6
2802,1,5,86029,94574,24,0,2
2576,19,1,156165,7155,15,0,5
4589,12,7,192619,65110,50,0,3
4330,22,1,33151,80303,44,0,4
4721,2,5,111984,3204,27,0,4
1251,3,2,157679,25968,4,0,4
4539,10,7,66215,56835,21,0,3
3280,9,1,168865,47473,44,0,5
3774,7,4,190326,8006,27,0,1
1082,14,4,169055,24989,59,0,7
4791,17,2,113272,17241,4,0,1
2305,21,1,163117,45769,14,0,2
2510,5,6,49605,85565,61,0,2
2359,12,7,72293,97258,5,0,4
502,10,4,98344,25272,74,0,3
4968,11,6,33328,13867,47,0,3
2503,11,3,177388,64064,17,0,7
879,21,2,166945,59627,28,0,2
1306,10,3,160892,69431,65,1,5
2419,7,6,41191,11211,64,0,1
4292,19,2,92893,56388,43,0,2
3629,4,4,172849,20710,42,0,2
4977,1,7,179535,75671,21,0,1
4454,2,4,88596,67732,9,0,6
3328,1,3,112096,93764,70,0,4
2461,20,6,135722,4696,77,0,5
125,19,5,71641,64811,64,0,2
163,12,4,166033,13602,74,0,5
1923,0,1,48361,65503,40,1,5
4756,23,3,54812,23626,75,0,3
1142,6,7,47998,64814,25,0,5
4567,3,7,79601,9275,14,0,5
4326,7,1,178423,94330,45,0,1
4580,3,2,181098,47976,66,0,3
4145,3,2,183140,20991,23,0,3
299,16,7,12415,89691,22,0,7
263,20,6,173616,50976,59,0,5
3906,9,7,117230,86076,60,0,3
351,14,4,116435,86029,35,0,5
3424,17,6,171589,14156,24,0,3
215,15,3,143286,97117,38,0,6
4318,21,5,23375,16088,15,0,7
3283,1,7,83077,9712,10,0,6
2562,16,4,83958,33920,20,0,1
1762,18,4,38872,11728,65,0,7
1924,5,1,96118,66942,38,0,1
3674,1,3,71216,85444,72,0,6
1373,19,5,137610,37176,62,0,7
2166,22,1,148184,76225,14,0,4
378,18,3,39675,19919,77,0,6
4779,22,4,93791,28962,28,0,1
1002,16,3,136060,19624,68,0,6
1009,12,6,149866,59002,75,0,3
1491,19,7,152907,28798,1,0,3
4418,4,7,132426,12889,15,1,3
4605,15,4,111464,1112,11,0,3
1934,11,1,24552,11808,27,0,6
897,0,6,123639,82938,68,0,6
2616,6,4,51220,47163,53,0,7
1559,22,3,109245,23931,28,0,7
2771,8,1,30991,55845,28,1,2
527,4,4,161989,63120,68,0,4
4530,16,3,131155,29230,2,0,1
217,1,4,81361,89229,21,0,7
3376,14,6,158619,82882,40,0,4
4508,19,3,31990,17193,29,0,6
1752,9,1,116072,95767,69,0,4
2565,1,5,45387,75816,25,0,5
4767,18,5,104575,2813,29,0,4
2938,12,4,70618,2920,9,0,5
2103,9,6,78903,71821,16,0,3
2111,17,3,187003,8674,24,0,7
4749,8,3,95009,69498,16,0,1
2227,17,4,199028,94863,38,0,7
1144,19,7,108423,61128,68,0,2
2260,17,3,58053,51489,32,0,2
1639,15,7,71897,27149,18,0,7
3767,2,2,5869,98088,7,0,2
2566,5,3,13024,83214,59,0,6
2606,8,2,148927,86178,1,0,3
751,7,4,135299,39506,36,0,2
72,21,3,131649,8352,76,0,7
3654,10,6,36707,69814,0,0,6
2991,17,1,192776,68173,37,0,5
654,16,2,118499,19452,70,0,7
812,3,5,133128,99499,11,0,2
3616,20,5,131270,27489,51,0,5
2601,22,5,96683,63061,48,0,7
2905,0,1,129116,1136,5,0,3
671,8,6,168926,77240,75,0,3
2952,21,1,116900,94422,36,0,6
4600,15,7,190388,6520,65,0,4
3099,21,6,69925,71269,31,0,6
4739,9,7,48939,30345,72,0,3
2263,6,7,74166,48861,18,0,6
4517,23,3,13328,16534,32,0,3
2252,9,7,13640,92057,12,0,2
4198,15,7,169044,11799,48,0,5
2982,6,2,76696,62510,12,0,1
826,6,5,5192,37413,16,0,3
1798,2,7,41468,31698,31,0,1
3903,8,1,126948,34272,79,0,4
3004,21,1,100430,1717,28,0,2
4018,12,7,9994,5234,52,0,1
1265,17,3,187831,42153,7,0,4
2808,7,4,123094,26307,56,1,2
2614,21,7,185755,88999,66,0,6
215,7,3,134974,28197,3,0,4
2900,10,3,69925,69842,1,0,1
680,1,5,180607,79542,47,0,1
259,4,5,195269,59847,57,0,3
53,6,4,129168,36710,5,0,1
3481,22,7,86471,46913,35,0,5
1503,9,4,195121,40178,53,0,3
964,1,6,11859,42609,43,0,1
3811,1,2,54522,5886,17,1,1
393,5,1,107638,54442,37,0,5
4261,20,2,70133,67458,6,0,7
984,14,4,160103,76542,69,0,2
3950,19,4,152616,16899,7,0,7
2591,5,5,156956,26183,34,0,4
3201,13,2,90679,3103,58,0,7
4560,7,5,164973,98537,7,0,6
4998,5,3,80403,42258,60,0,5
2515,2,5,28386,47754,14,0,5
2860,19,3,66114,71130,53,0,7
4613,15,5,106154,33933,30,0,2
3514,3,7,101462,37607,57,0,5
3206,9,3,81312,99371,60,0,3
2740,1,2,38340,40850,24,0,3
2912,23,3,10741,73374,27,0,3
3644,20,4,35257,15211,41,0,1
1047,10,3,35908,53113,26,0,2
1108,20,4,41182,1570,53,0,3
4938,6,4,44104,19062,75,0,2
4198,13,6,180507,5529,32,0,3
216,11,6,140699,57541,37,0,2
4118,12,2,161452,92056,65,0,2
1620,7,4,27439,77949,19,0,2
4745,19,4,44350,47223,45,0,7
985,12,3,190271,60546,52,0,7
4284,19,5,120945,83384,56,0,7
894,13,4,150787,6750,11,0,2
934,18,6,170386,49225,49,0,2
772,19,2,37101,3775,9,0,7
3165,2,5,70149,27616,39,0,4
2113,22,3,95221,26479,55,0,7
3621,16,4,194052,83956,35,0,6
3597,17,6,154886,19263,21,0,7
4116,13,6,15692,48295,9,0,6
1953,2,4,90103,80675,61,0,1
3328,9,1,166206,11345,52,0,1
2847,12,1,38455,29018,75,0,7
2163,14,7,63870,87694,12,1,1
4145,19,2,164450,55353,76,0,7
3925,11,6,153690,7587,70,0,2
2969,22,7,49739,33954,61,0,5
858,16,5,76045,38842,76,0,2
279,21,4,93059,84494,71,0,3
3272,5,4,86972,76485,66,0,5
2795,15,6,134631,64909,71,0,6
2063,13,3,91402,15079,58,0,3
358,4,6,155872,64400,30,0,2
3568,21,4,189844,16916,41,0,4
2557,12,1,47933,85899,0,0,1
3139,7,2,76386,87124,22,0,3
3555,14,3,190100,91022,27,0,7
3083,21,2,192902,75640,29,1,2
1766,13,6,180441,96402,20,0,1
2993,18,4,100432,32923,73,0,5
2441,19,6,58664,68384,51,0,7
3082,11,3,51922,14409,79,0,7
1514,12,6,190272,94063,71,0,4
1354,10,2,21061,59226,10,0,7
1514,20,5,193839,29054,55,0,2
4719,4,5,70727,91610,53,0,1
4332,18,3,159455,59160,20,1,7
4209,18,7,15234,58616,5,0,6
1061,1,6,81918,79116,67,0,1
3757,12,4,61889,69895,59,1,2
1388,13,3,9992,2961,47,0,7
4577,15,2,184075,21389,26,0,4
3368,23,7,110982,98057,66,0,6
3059,8,2,103239,45041,66,0,3
1987,15,1,185494,84106,75,0,4
2408,17,4,82963,21566,47,0,1
1279,1,6,156426,24929,20,0,1
637,21,5,11589,35812,37,0,2
259,13,4,30901,24576,20,0,2
2127,16,3,110583,57683,46,0,3
539,20,4,149098,69309,22,0,2
2195,19,1,139855,56798,74,0,5
3318,20,7,134572,21922,68,0,2
369,18,6,10898,19395,75,0,5
900,7,7,165703,96676,53,0,6
2514,6,7,36417,89020,55,0,7
1597,11,1,190782,87567,0,0,7
1459,20,7,79960,44618,79,0,7
4634,21,2,133652,9848,37,0,6
4534,5,3,47222,50223,60,0,5
278,16,7,14460,10275,5,0,2
416,1,2,160438,45036,19,0,3
4859,17,4,10368,5621,77,0,4
2944,14,3,58822,25042,34,0,3
1949,3,3,45863,11283,23,0,1
3408,10,2,174024,38663,35,0,2
1161,13,5,175863,30134,67,0,4
4534,12,2,149670,29807,23,1,7
3568,12,2,57999,56878,56,0,6
1491,5,2,102137,39084,38,0,3
2720,4,6,62221,2657,3,0,6
297,9,2,55599,72545,72,0,4
1039,15,3,83270,4722,42,1,4
1485,16,1,46938,50028,31,0,6
3372,21,1,25435,85117,10,0,2
2133,22,6,67993,81122,72,0,3
134,14,5,118710,36699,29,0,2
2425,14,1,137681,67253,57,0,7
1970,13,3,144379,93207,9,0,3
1630,20,6,91700,28526,63,0,2
4915,17,6,65410,91895,17,0,3
1891,15,6,84211,71122,46,0,2
85,12,4,141949,40553,58,0,7
1912,22,6,159599,19443,12,0,1
4358,16,4,196444,26095,68,0,4
2853,21,5,99283,16972,29,0,6
979,6,5,127035,53347,36,0,7
4333,14,6,125243,90874,76,0,5
2084,22,4,84507,81152,69,0,2
2975,15,2,175948,21323,29,0,7
2091,12,3,112325,84829,21,0,7
941,8,7,149933,97837,78,0,1
1321,3,2,88793,29164,19,0,3
3758,21,2,121547,61380,43,0,2
4723,6,4,82986,77216,60,0,7
297,1,3,137233,91071,16,0,6
254,10,1,108306,34654,3,0,7
315,11,7,16984,90312,74,1,1
4664,20,2,93774,22889,23,0,3
4052,7,2,51250,74034,66,0,2
2852,16,6,8009,90904,15,0,6
2087,19,6,107171,63559,9,0,1
854,23,1,63741,52502,36,0,5
194,19,2,64754,30978,40,1,2
3682,1,4,10543,57392,75,0,2
1897,1,4,123843,87593,64,0,4
3489,21,3,31270,63008,77,0,7
2670,19,5,116462,17663,20,0,6
1761,13,2,141319,11553,75,0,6
4141,12,4,143261,81077,79,1,1
1129,0,5,33835,62587,17,0,7
489,12,3,14615,6060,67,0,3
3824,13,6,194327,73684,13,0,6
3482,8,6,11638,38419,4,0,4
625,13,7,115634,1864,30,0,4
4188,13,6,74590,67471,12,1,3
335,21,2,84788,22316,71,0,4
4713,10,7,140150,79389,74,0,2
2585,2,4,55733,35754,64,0,5
138,16,2,99108,8493,7,0,3
3754,2,4,133674,93868,75,0,4
3154,6,4,152698,87005,18,0,5
180,12,5,188736,18883,51,0,5
3935,10,3,90959,3035,71,1,3
1059,22,3,61396,14331,55,0,7
4885,14,7,191806,29621,10,0,3
2863,1,3,178503,5837,41,0,3
4433,19,6,88886,66911,6,0,5
3405,11,2,6893,31573,11,0,5
